"host","path","full_url","mimeType","size","responseCode","ttfb","load","download_start","download_end","product","company","category","inititator"
"imamandrews.github.io","/","https://imamandrews.github.io/","HTML","18669","200","52","86","225","259","imamandrews.github.io","Unknown","imamandrews.github.io","https://imamandrews.github.io/"
"assets.squarespace.com","/universal/scripts-compressed/common-vendors-6d5f7113c0ae30cf6eec2-min.en-US.js","https://assets.squarespace.com/universal/scripts-compressed/common-vendors-6d5f7113c0ae30cf6eec2-min.en-US.js","Javascript","211364","200","43","576","436","969","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"assets.squarespace.com","/universal/scripts-compressed/common-01b5eb0c070ceabc89975-min.en-US.js","https://assets.squarespace.com/universal/scripts-compressed/common-01b5eb0c070ceabc89975-min.en-US.js","Javascript","239159","200","312","1052","706","1446","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"fonts.googleapis.com","/css?family=Rubik:300,400,500,700,700i,300i","https://fonts.googleapis.com/css?family=Rubik:300,400,500,700,700i,300i","CSS","627","200","50","53","449","452","Google Fonts","Google","CDNs","https://imamandrews.github.io/"
"cdn.lr-ingest.io","/LogRocket.min.js","https://cdn.lr-ingest.io/LogRocket.min.js","Javascript","8482","200","82","95","499","512","cdn.lr-ingest.io","","Unknown","https://imamandrews.github.io/"
"static1.squarespace.com","/static/sitecss/5b46af5a55b02cea2a648e93/167/55f0aac0e4b0f0a5b7e0b22e/5b515f6d70a6ade9ec8217ff/341-05142015/1543015615135/site.css?&filterFeatures=false","https://static1.squarespace.com/static/sitecss/5b46af5a55b02cea2a648e93/167/55f0aac0e4b0f0a5b7e0b22e/5b515f6d70a6ade9ec8217ff/341-05142015/1543015615135/site.css?&filterFeatures=false","CSS","81368","200","53","361","472","780","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"static1.squarespace.com","/static/ta/55f0a9b0e4b0f3eb70352f6d/341/scripts/site-bundle.js","https://static1.squarespace.com/static/ta/55f0a9b0e4b0f3eb70352f6d/341/scripts/site-bundle.js","Javascript","42173","200","166","244","1140","1218","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"assets.squarespace.com","/universal/scripts-compressed/performance-ea2ccd862828388f851b5-min.en-US.js","https://assets.squarespace.com/universal/scripts-compressed/performance-ea2ccd862828388f851b5-min.en-US.js","Javascript","53456","200","249","312","1471","1534","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"cdn.jsdelivr.net","/npm/@widgetbot/crate@3","https://cdn.jsdelivr.net/npm/@widgetbot/crate@3","Javascript","138946","200","80","314","1695","1929","JSDelivr CDN","JSDelivr CDN","CDNs","https://imamandrews.github.io/"
"static1.squarespace.com","/static/5b46af5a55b02cea2a648e93/t/5b78b6de0ebbe83e5ef7a4cc/1543965975174/?format=1500w","https://static1.squarespace.com/static/5b46af5a55b02cea2a648e93/t/5b78b6de0ebbe83e5ef7a4cc/1543965975174/?format=1500w","Image","0","301","84","84","1934","1934","Squarespace","Squarespace","Hosting Platforms","https://imamandrews.github.io/"
"imamandrews.github.io","/assets/ui-icons.svg","https://imamandrews.github.io/assets/ui-icons.svg","HTML","5232","404","71","72","1939","1940","imamandrews.github.io","Unknown","imamandrews.github.io","https://imamandrews.github.io/"
"cdn.lr-ingest.io","/logger-1.min.js","https://cdn.lr-ingest.io/logger-1.min.js","Javascript","113703","200","88","364","2063","2339","cdn.lr-ingest.io","","Unknown","https://cdn.lr-ingest.io/LogRocket.min.js"
